iter	Passed	Remaining
0	97	97081
1	97	48888
2	98	32799
3	99	24751
4	100	19927
5	100	16710
6	101	14410
7	102	12679
8	102	11320
9	103	10232
10	103	9342
11	104	8599
12	104	7971
13	105	7433
14	106	6966
15	106	6557
16	107	6196
17	107	5875
18	108	5588
19	108	5338
20	109	5112
21	110	4910
22	111	4717
23	111	4538
24	112	4374
25	112	4222
26	113	4080
27	113	3949
28	114	3826
29	114	3712
30	115	3605
31	115	3505
32	116	3412
33	116	3324
34	117	3240
35	118	3161
36	118	3086
37	119	3016
38	119	2949
39	120	2885
40	120	2825
41	121	2767
42	121	2713
43	122	2660
44	123	2613
45	123	2565
46	124	2523
47	125	2481
48	125	2442
49	126	2402
50	127	2363
51	127	2326
52	128	2289
53	128	2254
54	129	2219
55	129	2187
56	130	2155
57	130	2124
58	131	2095
59	131	2066
60	132	2038
61	132	2011
62	133	1985
63	134	1960
64	134	1935
65	135	1912
66	135	1888
67	136	1866
68	136	1844
69	137	1824
70	137	1804
71	138	1784
72	139	1765
73	139	1748
74	140	1732
75	141	1714
76	141	1697
77	142	1680
78	142	1663
79	143	1646
80	143	1630
81	144	1615
82	144	1597
83	145	1582
84	145	1568
85	146	1554
86	146	1540
87	147	1526
88	147	1513
89	148	1500
90	148	1488
91	149	1475
92	150	1463
93	150	1451
94	151	1440
95	151	1429
96	152	1418
97	152	1407
98	153	1397
99	154	1386
100	154	1377
101	155	1368
102	156	1358
103	156	1348
104	157	1339
105	157	1329
106	158	1320
107	158	1311
108	159	1301
109	159	1293
110	160	1284
111	160	1275
112	161	1267
113	161	1258
114	162	1250
115	163	1242
116	163	1233
117	164	1225
118	164	1218
119	165	1210
120	165	1204
121	166	1196
122	166	1189
123	167	1182
124	167	1175
125	168	1168
126	168	1160
127	169	1155
128	170	1151
129	171	1146
130	171	1139
131	172	1133
132	172	1126
133	173	1120
134	173	1114
135	174	1108
136	174	1102
137	175	1096
138	176	1090
139	176	1084
140	177	1079
141	177	1072
142	178	1066
143	178	1061
144	179	1056
145	179	1050
146	180	1045
147	180	1040
148	181	1035
149	181	1030
150	182	1025
151	182	1020
152	183	1015
153	184	1010
154	184	1006
155	185	1003
156	186	999
157	186	995
158	187	990
159	187	986
160	188	980
161	188	976
162	189	972
163	189	968
164	190	963
165	190	959
166	191	955
167	192	951
168	192	946
169	193	943
170	193	939
171	194	935
172	194	931
173	195	927
174	195	923
175	196	919
176	197	916
177	197	912
178	198	908
179	198	904
180	199	901
181	199	898
182	200	895
183	201	892
184	201	888
185	202	885
186	202	881
187	203	878
188	203	874
189	204	871
190	204	868
191	205	864
192	206	861
193	206	858
194	207	855
195	207	852
196	208	850
197	209	847
198	209	844
199	210	841
200	210	838
201	211	835
202	211	832
203	212	829
204	213	826
205	213	823
206	214	821
207	215	819
208	216	818
209	216	815
210	217	813
211	218	810
212	218	808
213	219	805
214	219	802
215	220	800
216	221	797
217	221	794
218	222	792
219	222	789
220	223	786
221	223	784
222	224	781
223	224	779
224	225	776
225	226	774
226	226	771
227	227	768
228	227	766
229	228	763
230	228	761
231	229	758
232	229	756
233	230	755
234	231	753
235	231	750
236	232	748
237	232	745
238	233	743
239	233	740
240	234	738
241	235	736
242	235	734
243	236	731
244	236	729
245	237	727
246	237	724
247	238	722
248	238	720
249	239	717
250	239	715
251	240	713
252	240	711
253	241	709
254	242	707
255	242	704
256	243	703
257	243	701
258	244	699
259	245	698
260	246	696
261	246	694
262	247	692
263	247	690
264	248	688
265	248	686
266	249	684
267	249	682
268	250	680
269	250	678
270	251	676
271	251	674
272	252	672
273	253	670
274	253	668
275	254	666
276	254	664
277	255	662
278	255	660
279	256	659
280	256	657
281	257	655
282	257	653
283	258	651
284	259	649
285	259	648
286	260	647
287	261	645
288	261	643
289	262	641
290	262	640
291	263	638
292	263	636
293	264	634
294	264	633
295	265	631
296	266	629
297	266	628
298	267	626
299	267	624
300	268	622
301	268	621
302	269	619
303	269	617
304	270	615
305	270	614
306	271	612
307	271	610
308	272	609
309	273	607
310	273	606
311	274	604
312	274	603
313	275	602
314	276	600
315	276	598
316	277	597
317	277	595
318	278	594
319	278	592
320	279	590
321	279	589
322	280	587
323	280	586
324	281	584
325	281	583
326	282	581
327	283	579
328	283	578
329	284	576
330	284	575
331	285	573
332	285	572
333	286	571
334	286	569
335	287	568
336	288	566
337	288	565
338	289	563
339	289	562
340	290	561
341	291	560
342	291	558
343	292	557
344	292	555
345	293	554
346	293	553
347	294	551
348	294	550
349	295	548
350	295	547
351	296	545
352	296	544
353	297	542
354	298	541
355	298	540
356	299	538
357	299	537
358	300	535
359	300	534
360	301	533
361	301	532
362	302	530
363	302	529
364	303	528
365	304	526
366	304	525
367	305	524
368	306	523
369	306	522
370	307	521
371	307	519
372	308	518
373	308	517
374	309	515
375	310	514
376	310	513
377	311	511
378	311	510
379	312	509
380	312	508
381	313	506
382	313	505
383	314	504
384	314	503
385	315	501
386	316	500
387	316	499
388	317	498
389	317	496
390	318	495
391	318	494
392	319	493
393	319	492
394	320	491
395	321	490
396	322	489
397	322	488
398	323	486
399	323	485
400	324	484
401	324	483
402	325	482
403	326	480
404	326	480
405	327	479
406	328	478
407	328	477
408	329	475
409	329	474
410	330	473
411	331	472
412	331	471
413	332	470
414	332	468
415	333	467
416	333	466
417	334	465
418	335	464
419	336	464
420	337	464
421	338	463
422	338	462
423	339	461
424	340	460
425	340	458
426	341	457
427	341	456
428	342	455
429	342	454
430	343	453
431	344	452
432	344	451
433	345	450
434	346	449
435	346	448
436	347	447
437	347	446
438	348	444
439	348	443
440	349	442
441	350	442
442	351	441
443	352	440
444	352	439
445	353	438
446	353	437
447	354	436
448	355	435
449	355	434
450	356	433
451	356	432
452	357	431
453	357	430
454	358	429
455	358	428
456	359	427
457	359	425
458	360	424
459	360	423
460	361	422
461	362	421
462	362	420
463	363	419
464	363	418
465	364	417
466	364	416
467	365	415
468	366	414
469	367	413
470	367	413
471	368	412
472	369	411
473	369	410
474	370	409
475	370	408
476	371	407
477	372	406
478	372	405
479	373	404
480	373	403
481	374	402
482	375	401
483	375	400
484	376	399
485	377	398
486	377	397
487	378	396
488	378	395
489	379	394
490	380	393
491	380	393
492	382	393
493	383	392
494	383	391
495	384	390
496	384	389
497	385	388
498	385	387
499	386	386
500	387	385
501	387	384
502	388	383
503	388	382
504	389	381
505	389	380
506	390	379
507	390	378
508	391	377
